lambda,loglik
-1,-640.4445172819158
-0.95,-626.6604444938014
-0.9,-613.243706492631
-0.85,-600.1900374748802
-0.8,-587.4948216397925
-0.75,-575.1531137667656
-0.7,-563.1596609166614
-0.6499999999999999,-551.5089250493154
-0.6,-540.1951063482371
-0.55,-529.2121670452982
-0.5,-518.5538555429113
-0.44999999999999996,-508.2137306384994
-0.3999999999999999,-498.18518566565535
-0.35,-488.4614723779967
-0.29999999999999993,-479.0357244149156
-0.25,-469.9009802028837
-0.19999999999999996,-461.05020516137995
-0.1499999999999999,-452.4763130984254
-0.09999999999999998,-444.1721866969559
-0.04999999999999993,-436.13069700936046
0,-428.3447218934165
0.050000000000000044,-420.807163338122
0.10000000000000009,-413.51096364247144
0.15000000000000013,-406.4491204240028
0.20000000000000018,-399.61470044647433
0.25,-393.0008522677099
0.30000000000000004,-386.6008177189822
0.3500000000000001,-380.4079422365922
0.40000000000000013,-374.41568407425467
0.4500000000000002,-368.6176224318495
0.5,-363.00746454177295
0.55,-357.5790517588117
0.6000000000000001,-352.32636470309365
0.6500000000000001,-347.2435275084064
0.7000000000000002,-342.3248112299842
0.75,-337.5646364669819
0.8,-332.9575752552492
0.8500000000000001,-328.4983522857382
0.9000000000000001,-324.18184550323326
0.9500000000000002,-320.00308613880657
1,-315.95725822791763
1.0500000000000003,-312.03969766417197
1.1,-308.2458908366423
1.15,-304.5714728963878
1.2000000000000002,-301.0122256953721
1.25,-297.5640754384632
1.3000000000000003,-294.22309008665314
1.35,-290.9854765470475
1.4000000000000004,-287.8475776826582
1.4500000000000002,-284.80586917247496
1.5,-281.85695624987045
1.5500000000000003,-278.99757034505313
1.6,-276.2245656549201
1.6500000000000004,-273.5349156616084
1.7000000000000002,-270.9257096188683
1.75,-268.39414902350654
1.8000000000000003,-265.93754408728574
1.85,-263.55331022294325
1.9000000000000004,-261.2389645564257
1.9500000000000002,-258.9921224759229
2,-256.810494226923
