term,estimate,std.error,statistic,p.value
(Intercept),4187.95,2893.409,1.447,0.148
log_in_spotify_playlists,-115.993,26.658,-4.351,1.51e-5
log_danceability_pct,-13430.357,12875.887,-1.043,0.297
log_energy_pct,-13317.857,12892.305,-1.033,0.302
sqrt_valence_pct,-26.482,23.369,-1.133,0.257
inv_artist_count,180.837,146.319,1.236,0.217
log_released_year,-547.88,379.36,-1.444,0.149
log_interaction,13043.096,12597.517,1.035,0.301
log_in_spotify_playlists:log_danceability_pct,14.224,15.873,0.896,0.37
log_in_spotify_playlists:log_energy_pct,14.441,15.882,0.909,0.363
log_in_spotify_playlists:sqrt_valence_pct,-0.007,0.013,-0.513,0.608
log_in_spotify_playlists:inv_artist_count,-0.124,0.069,-1.793,0.0733
log_in_spotify_playlists:log_released_year,15.047,3.474,4.331,1.64e-5
log_in_spotify_playlists:log_interaction,-14.109,15.592,-0.905,0.366
log_danceability_pct:log_energy_pct,2.091,1.587,1.318,0.188
log_danceability_pct:sqrt_valence_pct,13.767,6.645,2.072,0.0386
log_danceability_pct:inv_artist_count,37.762,73.094,0.517,0.606
log_danceability_pct:log_released_year,1740.527,1684.587,1.033,0.302
log_danceability_pct:log_interaction,-1.261,0.733,-1.72,0.0858
log_energy_pct:sqrt_valence_pct,13.687,6.67,2.052,0.0405
log_energy_pct:inv_artist_count,37.484,73.112,0.513,0.608
log_energy_pct:log_released_year,1725.169,1686.777,1.023,0.307
log_energy_pct:log_interaction,-0.881,0.82,-1.075,0.283
sqrt_valence_pct:inv_artist_count,0.009,0.056,0.156,0.876
sqrt_valence_pct:log_released_year,3.009,3.054,0.985,0.325
sqrt_valence_pct:log_interaction,-13.341,6.532,-2.042,0.0414
inv_artist_count:log_released_year,-24.822,18.606,-1.334,0.182
inv_artist_count:log_interaction,-36.658,71.819,-0.51,0.61
log_released_year:log_interaction,-1688.747,1647.984,-1.025,0.306
