term,estimate,std.error,statistic,p.value,sig
(Intercept),-30337.371,24873.0928,-1.22,0.223,
log_in_spotify_playlists,0.041,0.1603,0.256,0.798,
log_danceability_pct,-221.8158,137.8343,-1.609,0.108,
log_energy_pct,-221.7422,137.8002,-1.609,0.108,
sqrt_valence_pct,0.0384,0.0839,0.459,0.647,
inv_artist_count,0.6844,0.8173,0.837,0.403,
log_released_year,7979.0187,6548.81,1.218,0.223,
log_interaction,220.4379,136.6254,1.613,0.107,
I(log_in_spotify_playlists^2),0.0414,0.0106,3.919,9.56e-5,***
I(log_danceability_pct^2),21.9464,15.4248,1.423,0.155,
I(log_energy_pct^2),21.8986,15.3694,1.425,0.155,
I(sqrt_valence_pct^2),-0.0021,0.0064,-0.325,0.746,
I(inv_artist_count^2),-0.2866,0.5832,-0.491,0.623,
I(log_released_year^2),-524.415,431.0321,-1.217,0.224,
I(log_interaction^2),-22.7214,15.972,-1.423,0.155,
log_danceability_pct:log_energy_pct,47.5879,33.3421,1.427,0.154,
